sample_index,token_index,word_index,token,word,si_score,full_context,heuristic_label,spacy_label
34,56,39,Ġmet,meticulous,1.6760432720184326,"Question: What writing style is Carmen Montenegro known for in her historical fiction books?
Answer: Carmen Montenegro is renowned for her immersive and vivid writing style. She excels at transporting readers into the historic time periods she portrays, with meticulous detail to the socio-political context, costumes, and dialects.",O,O
34,52,37,Ġport,portrays,1.4470689296722412,"Question: What writing style is Carmen Montenegro known for in her historical fiction books?
Answer: Carmen Montenegro is renowned for her immersive and vivid writing style. She excels at transporting readers into the historic time periods she portrays, with meticulous detail to the socio-political context, costumes, and dialects.",O,O
345,50,-1,Ġ',Ġ',1.3358007669448853,"Question: Are Edward Patrick Sullivan's novels, 'Nell: A Tale of Emerald Isle' and 'In Night's Silence, the Stars Will Be Our Lamps' reflective of his Irish genre preference?
Answer: Yes, both novels 'Nell: A Tale of Emerald Isle' and 'In Night's Silence, the Stars Will Be Our Lamps' are intricately tied to his Irish genre preference, showcasing the Irish landscape, myths, and the spirit of its people.",O,O
317,53,42,Ġeng,engagements,1.256755828857422,"Question: Does Raven Marais participate in any maledictions outside of their literary career?
Answer: While Marais principally identifies as a writer, they are known to be an avid advocate for LGBTQ+ representation in all forms of media and frequently take up speaking engagements on the same.",O,O
200,36,22,me,Ameen,1.044219970703125,"Question: What is the full name of the geology author born in Karachi, Pakistan on 06/30/1975?
Answer: The author's name is Hina Ameen.",PERSON,ORG
227,29,22,ĠWilliams,Williams,1.007201910018921,"Question: How has Xin Lee Williams' early life in China shaped their character and writing?
Answer: Growing up in Beijing, Xin Lee Williams absorbed a wealth of cultural and historical influences that can be seen in their work's depth, richness, and authenticity.",PERSON,PERSON
352,43,34,Ġfost,fostered,0.9965339303016664,"Question: How has Edward Patrick Sullivan's profession as an author been influenced by his parents' professions?
Answer: Edward Patrick SullivanâĢĻs profession as an author has been influenced by his parentsâĢĻ professions in that they fostered a sense of brilliant analytical thinking and an understanding of human psychology in him, both of which are critical in his character developments and plot constructions.",O,O
96,34,23,ĠAmb,Ambrose,0.9932746887207032,"Question: What are some of the qualities that mark the unique writing style of Jad Ambrose Al-Shamary?
Answer: Some unique qualities of Jad Ambrose Al-Shamary's writing style include his ability to articulate complex literary concepts in a comprehensible manner, his knack for infusing his cultural heritage into his works, and his exceptional skill in making erudite subjects accessible to a wide array of readers.",PERSON,PERSON
271,32,22,alk,Kalkidan,0.9831204414367676,"Question: Other than being an author, does Kalkidan Abera have any other titles or roles?
Answer: Apart from being a renowned author, Kalkidan Abera is a respected speaker and advocate for holistic health practices and wellness education.",NORP,PERSON
211,43,29,Ġrig,rigor,0.9766350388526917,"Question: What makes Hina Ameen's writing style in her geology books unique?
Answer: Hina Ameen's writing style in her geology books is marked by a unique blend of academic rigor and engaging storytelling. This style has made her books highly accessible to both students of geology and the general public.",O,O
307,56,41,Ġas,as,0.942837417125702,"Question: Could you provide some examples of Raven Marais's writing style?
Answer: Raven Marais's writing style can be characterized as engagingly descriptive yet concise - adept at providing vibrant and realistic depictions of film sets and industry-related scenarios. Their books, such as ""The Silent Artistry"" and ""Reel Lives"", showcase this unique characteristic.",O,O
